pair,n_trades,win_rate,profit_factor,sharpe,max_dd,avg_hold_bars,min_hold,half_life,eg_pval
USDCAD/USDCHF,1922,0.9906,196.5332,4.0611,-0.0836,14.1,12,63.264282449791516,0.051433232495173356
EURUSD/USDCHF,1863,0.9903,96.155,3.629,-0.1322,14.1,12,42.961835039873556,0.016331716249300687
EURUSD/GBPUSD,1906,0.9874,78.1285,2.8581,-0.1714,14.1,12,72.33991015971375,0.06873812652582975
NZDUSD/USDCAD,1989,0.9839,75.4027,4.2079,-0.0931,13.7,12,44.94865540953056,0.009994623892049947
NZDUSD/USDCHF,1969,0.9837,72.9281,4.1854,-0.0874,13.8,12,67.98029632707367,0.06739716626592719
GBPUSD/USDCHF,1872,0.9877,63.525,2.5459,-0.2968,14.2,12,64.96013524297886,0.05355042167856519
