entry_time,exit_time,direction,entry_z,exit_z,bars_held,pnl_raw,pnl_norm,exit_reason
2015-05-26 12:00:00+00:00,2015-05-29 16:00:00+00:00,1,-2.1198,-3.5727,76,-0.021512298104856276,-1.45294,STOP_LOSS
2015-05-29 17:00:00+00:00,2015-06-05 12:00:00+00:00,1,-3.5018,-4.1149,115,-0.009077757643983941,-0.613112,STOP_LOSS
2015-06-08 20:00:00+00:00,2015-06-17 10:00:00+00:00,1,-2.014,-3.5115,158,-0.03093941162477576,-1.497473,STOP_LOSS
2015-06-17 11:00:00+00:00,2015-06-21 23:00:00+00:00,1,-3.496,-3.7026,60,-0.004267883289880703,-0.206566,STOP_LOSS
2015-06-22 00:00:00+00:00,2015-06-24 12:00:00+00:00,1,-3.6697,-3.8692,60,-0.004122496488985661,-0.19953,STOP_LOSS
2015-06-26 20:00:00+00:00,2015-07-15 15:00:00+00:00,1,-2.1159,-3.5761,307,-0.04467072449386894,-1.460267,STOP_LOSS
2015-07-16 20:00:00+00:00,2015-08-05 18:00:00+00:00,1,-2.7049,-3.261,335,-0.024689438276252695,-0.556035,END_OF_WINDOW
2015-08-25 18:00:00+00:00,2015-09-14 16:00:00+00:00,1,-2.0571,-1.3923,335,0.022053081139809638,0.66475,END_OF_WINDOW
2015-10-22 17:00:00+00:00,2015-11-11 17:00:00+00:00,-1,2.2985,2.4244,335,-0.002453874917303922,-0.125923,END_OF_WINDOW
2016-04-19 10:00:00+00:00,2016-05-03 12:00:00+00:00,-1,2.0924,0.4757,242,0.022193306863156737,1.616697,MEAN_CROSS
2016-06-03 10:00:00+00:00,2016-06-09 14:00:00+00:00,-1,2.0761,3.6021,100,-0.017294921364432614,-1.526041,STOP_LOSS
2016-06-09 15:00:00+00:00,2016-06-16 08:00:00+00:00,-1,3.5292,2.179,113,0.015301810987624842,1.350176,END_OF_WINDOW
2016-06-16 16:00:00+00:00,2016-06-23 16:00:00+00:00,-1,2.0305,3.608,120,-0.0193653634636346,-1.577494,STOP_LOSS
2016-06-23 17:00:00+00:00,2016-06-29 01:00:00+00:00,-1,3.5734,3.5052,80,0.0008367596959094059,0.068162,STOP_LOSS
2016-06-29 02:00:00+00:00,2016-06-30 18:00:00+00:00,-1,3.5198,3.8628,40,-0.004211333891990632,-0.343053,STOP_LOSS
2016-06-30 19:00:00+00:00,2016-07-04 11:00:00+00:00,-1,3.8458,4.3302,40,-0.005946411067926705,-0.484392,STOP_LOSS
2016-07-04 12:00:00+00:00,2016-07-06 07:00:00+00:00,-1,4.3258,3.5247,43,0.009833742597876172,0.801052,STOP_LOSS
2016-07-06 09:00:00+00:00,2016-07-10 21:00:00+00:00,-1,2.1191,3.5958,60,-0.027441085051430503,-1.476671,STOP_LOSS
2016-07-10 22:00:00+00:00,2016-07-13 10:00:00+00:00,-1,3.6949,3.7381,60,-0.0008033347538771163,-0.043229,STOP_LOSS
2016-07-13 11:00:00+00:00,2016-07-26 08:00:00+00:00,-1,3.7888,2.0252,213,0.03277380088547016,1.763637,END_OF_WINDOW
2016-09-07 09:00:00+00:00,2016-09-22 07:00:00+00:00,-1,2.0491,1.3372,262,0.01653208767593678,0.711909,END_OF_WINDOW
2016-11-08 20:00:00+00:00,2016-11-11 07:00:00+00:00,-1,2.3087,0.4386,59,0.020790652032301626,1.870136,MEAN_CROSS
2016-11-30 07:00:00+00:00,2016-12-09 05:00:00+00:00,-1,2.1994,2.4431,166,-0.0022797565247921203,-0.243734,END_OF_WINDOW
2016-12-09 06:00:00+00:00,2016-12-16 12:00:00+00:00,-1,2.0384,0.4874,127,0.013365634149428207,1.55095,MEAN_CROSS
2016-12-23 12:00:00+00:00,2016-12-29 04:00:00+00:00,1,-2.1362,-1.1374,88,0.008607530445088607,0.998819,END_OF_WINDOW
2017-01-24 14:00:00+00:00,2017-02-07 06:00:00+00:00,-1,2.2284,3.2049,232,-0.008796131322424239,-0.976464,END_OF_WINDOW
2017-02-07 07:00:00+00:00,2017-02-09 05:00:00+00:00,-1,2.0632,0.4292,46,0.01667832753671178,1.634092,MEAN_CROSS
2017-03-08 11:00:00+00:00,2017-03-17 05:00:00+00:00,1,-2.0129,-3.0524,163,-0.010176481834681061,-1.039465,END_OF_WINDOW
2017-03-17 06:00:00+00:00,2017-03-24 08:00:00+00:00,1,-3.2121,-3.5809,122,-0.00398365691480751,-0.368777,STOP_LOSS
2017-03-24 09:00:00+00:00,2017-03-28 22:00:00+00:00,1,-3.6793,-3.5947,61,0.000914400686510386,0.084648,STOP_LOSS
