entry_time,exit_time,direction,entry_z,exit_z,bars_held,pnl_raw,pnl_norm,exit_reason,spread_std
2015-05-11 15:00:00+00:00,2015-06-01 10:00:00+00:00,-1,2.1414,0.4722,356,0.023981501484326817,1.669189,MEAN_CROSS,0.014367155498911795
2015-06-12 15:00:00+00:00,2015-06-26 18:00:00+00:00,-1,2.0531,2.7706,243,-0.010308848479532007,-0.717529,END_OF_WINDOW,0.014367155498911795
2015-09-04 12:00:00+00:00,2015-09-18 10:00:00+00:00,1,-2.1341,0.5333,238,0.0287370819537478,2.667358,MEAN_CROSS,0.010773611115485969
2015-09-24 12:00:00+00:00,2015-10-22 16:00:00+00:00,1,-2.0122,-0.9951,484,0.0109573590039021,1.017055,END_OF_WINDOW,0.010773611115485969
2015-12-08 11:00:00+00:00,2015-12-21 16:00:00+00:00,1,-2.0741,-2.9497,221,-0.008295205386396887,-0.875689,END_OF_WINDOW,0.009472771324943294
2015-12-21 17:00:00+00:00,2015-12-29 11:00:00+00:00,1,-2.864,-3.5593,124,-0.005342825703478604,-0.695316,STOP_LOSS,0.007684021547489659
2015-12-29 12:00:00+00:00,2016-01-04 00:00:00+00:00,1,-3.5934,-3.8576,60,-0.0020300669176837594,-0.264193,STOP_LOSS,0.007684021547489659
2016-01-04 01:00:00+00:00,2016-01-06 13:00:00+00:00,1,-3.9738,-4.2135,60,-0.0018416930665978715,-0.239678,STOP_LOSS,0.007684021547489659
2016-01-06 14:00:00+00:00,2016-01-11 02:00:00+00:00,1,-4.2582,-5.9745,60,-0.013188809895289921,-1.716394,STOP_LOSS,0.007684021547489659
2016-01-11 03:00:00+00:00,2016-01-13 15:00:00+00:00,1,-5.9464,-6.0322,60,-0.0006594443460348764,-0.08582,STOP_LOSS,0.007684021547489659
2016-01-13 16:00:00+00:00,2016-01-18 04:00:00+00:00,1,-5.9305,-7.7481,60,-0.013966491332032371,-1.817602,STOP_LOSS,0.007684021547489659
2016-01-18 05:00:00+00:00,2016-01-20 17:00:00+00:00,1,-7.7417,-8.7329,60,-0.00761602958969515,-0.991152,STOP_LOSS,0.007684021547489659
2016-01-20 18:00:00+00:00,2016-01-25 06:00:00+00:00,1,-8.9074,-7.0447,60,0.014312846978734362,1.862677,STOP_LOSS,0.007684021547489659
2016-01-25 07:00:00+00:00,2016-01-27 19:00:00+00:00,1,-7.3251,-7.5686,60,-0.001870892936776336,-0.243478,STOP_LOSS,0.007684021547489659
2016-01-27 20:00:00+00:00,2016-02-01 08:00:00+00:00,1,-7.5667,-6.9389,60,0.004823954321931223,0.62779,STOP_LOSS,0.007684021547489659
2016-02-01 09:00:00+00:00,2016-02-03 21:00:00+00:00,1,-7.2586,-4.8273,60,0.018682781610842136,2.431381,STOP_LOSS,0.007684021547489659
2016-02-03 22:00:00+00:00,2016-02-08 10:00:00+00:00,1,-4.8829,-6.7079,60,-0.014023438805431943,-1.825013,STOP_LOSS,0.007684021547489659
2016-02-08 11:00:00+00:00,2016-02-10 23:00:00+00:00,1,-6.8502,-6.9306,60,-0.0006175687595114665,-0.080371,STOP_LOSS,0.007684021547489659
2016-02-11 00:00:00+00:00,2016-02-15 12:00:00+00:00,1,-6.7542,-6.9068,60,-0.001172548242997562,-0.152596,STOP_LOSS,0.007684021547489659
2016-02-15 13:00:00+00:00,2016-02-18 01:00:00+00:00,1,-6.8354,-8.156,60,-0.01014786037128973,-1.320644,STOP_LOSS,0.007684021547489659
2016-05-03 07:00:00+00:00,2016-05-06 18:00:00+00:00,-1,2.0383,0.4639,83,0.026019811667955084,1.574369,MEAN_CROSS,0.01652713528959349
2016-06-22 21:00:00+00:00,2016-06-27 09:00:00+00:00,-1,2.1854,-5.6099,60,0.10697781992441968,7.795221,MEAN_CROSS,0.013723512561840658
2016-06-27 10:00:00+00:00,2016-06-29 22:00:00+00:00,1,-5.9428,-4.5851,60,0.018632386220249597,1.357698,STOP_LOSS,0.013723512561840658
2016-06-29 23:00:00+00:00,2016-07-04 11:00:00+00:00,1,-4.5714,-5.6204,60,-0.014396839774925785,-1.049064,STOP_LOSS,0.013723512561840658
2016-07-04 12:00:00+00:00,2016-07-07 00:00:00+00:00,1,-5.6089,-7.4961,60,-0.02589794534663825,-1.887122,STOP_LOSS,0.013723512561840658
2016-07-07 01:00:00+00:00,2016-07-11 13:00:00+00:00,1,-7.4452,-7.141,60,0.004175513822011423,0.30426,STOP_LOSS,0.013723512561840658
2016-07-11 14:00:00+00:00,2016-07-14 02:00:00+00:00,1,-7.1073,-5.9785,60,0.015490767402496164,1.128776,STOP_LOSS,0.013723512561840658
2016-07-14 03:00:00+00:00,2016-07-18 15:00:00+00:00,1,-5.925,-5.4944,60,0.005908542651570092,0.430542,STOP_LOSS,0.013723512561840658
2016-07-18 16:00:00+00:00,2016-07-21 04:00:00+00:00,1,-5.6039,-5.7089,60,-0.0014416561277905693,-0.10505,STOP_LOSS,0.013723512561840658
2016-07-21 05:00:00+00:00,2016-07-25 17:00:00+00:00,1,-5.7935,-6.2166,60,-0.005806006829662869,-0.42307,STOP_LOSS,0.013723512561840658
2016-07-25 18:00:00+00:00,2016-07-28 06:00:00+00:00,1,-6.2875,-5.9233,60,0.00499787720911965,0.364184,STOP_LOSS,0.013723512561840658
2016-07-28 07:00:00+00:00,2016-08-01 19:00:00+00:00,1,-5.9345,-6.1913,60,-0.0035240318404639037,-0.256788,STOP_LOSS,0.013723512561840658
2016-08-01 20:00:00+00:00,2016-08-04 08:00:00+00:00,1,-6.1902,-5.4934,60,0.009562990178355824,0.696833,STOP_LOSS,0.013723512561840658
2016-08-04 09:00:00+00:00,2016-08-08 20:00:00+00:00,1,-5.4594,-6.8078,60,-0.01850502049350411,-1.348417,STOP_LOSS,0.013723512561840658
2016-08-08 21:00:00+00:00,2016-08-11 09:00:00+00:00,1,-6.783,-7.2763,60,-0.006770878989366236,-0.493378,STOP_LOSS,0.013723512561840658
2016-10-17 11:00:00+00:00,2016-11-23 15:00:00+00:00,1,-2.0197,0.5164,652,0.0721876069591594,2.536145,MEAN_CROSS,0.028463517814372022
2017-04-18 12:00:00+00:00,2017-04-28 07:00:00+00:00,-1,2.1352,3.5034,187,-0.014018060686601858,-1.368107,STOP_LOSS,0.010246318641509662
2017-04-28 08:00:00+00:00,2017-05-05 19:00:00+00:00,-1,3.4472,3.5004,131,-0.0005447555860725317,-0.053166,STOP_LOSS,0.010246318641509662
2017-05-05 20:00:00+00:00,2017-05-10 00:00:00+00:00,-1,3.5023,4.2354,52,-0.007511423070838075,-0.733085,STOP_LOSS,0.010246318641509662
2017-05-10 01:00:00+00:00,2017-05-12 05:00:00+00:00,-1,4.2409,3.8342,52,0.004166667313498906,0.40665,STOP_LOSS,0.010246318641509662
2017-05-12 06:00:00+00:00,2017-05-18 09:00:00+00:00,-1,3.8085,3.5747,99,0.0023957901334221154,0.23382,STOP_LOSS,0.010246318641509662
