entry_time,exit_time,direction,entry_z,exit_z,bars_held,pnl_raw,pnl_norm,exit_reason
2015-07-02 08:00:00+00:00,2015-07-14 08:00:00+00:00,-1,2.084,3.5173,192,-0.01547166042852316,-1.433359,STOP_LOSS
2015-07-16 17:00:00+00:00,2015-08-05 14:00:00+00:00,-1,2.5579,2.6595,335,-0.001523538643661393,-0.101683,END_OF_WINDOW
2015-08-25 12:00:00+00:00,2015-09-03 14:00:00+00:00,-1,3.628,0.0445,170,0.053690007322132915,3.58349,MEAN_CROSS
2015-11-03 18:00:00+00:00,2015-11-11 09:00:00+00:00,1,-2.0443,-1.7037,135,0.0042652297464880196,0.340675,END_OF_WINDOW
2015-12-07 13:00:00+00:00,2015-12-09 16:00:00+00:00,-1,2.1136,3.5124,51,-0.011468183173187652,-1.398809,STOP_LOSS
2015-12-09 17:00:00+00:00,2015-12-11 05:00:00+00:00,-1,3.6051,3.9523,36,-0.0028462157993655035,-0.347161,STOP_LOSS
2015-12-11 06:00:00+00:00,2015-12-14 18:00:00+00:00,-1,3.8612,4.7663,36,-0.007421182595198084,-0.905184,STOP_LOSS
2015-12-14 19:00:00+00:00,2015-12-16 07:00:00+00:00,-1,4.8094,4.8142,36,-3.973684920327569e-05,-0.004847,STOP_LOSS
2015-12-16 08:00:00+00:00,2015-12-17 20:00:00+00:00,-1,4.9462,6.3848,36,-0.011793770926414593,-1.438522,STOP_LOSS
2015-12-17 21:00:00+00:00,2015-12-21 09:00:00+00:00,-1,6.2844,6.2024,36,0.0006715573661824625,0.081912,STOP_LOSS
2015-12-21 10:00:00+00:00,2016-01-06 07:00:00+00:00,-1,3.2994,3.5186,247,-0.0030564987776590113,-0.219256,STOP_LOSS
2016-01-06 08:00:00+00:00,2016-01-08 20:00:00+00:00,-1,3.6965,4.3487,60,-0.009092285474539552,-0.652229,STOP_LOSS
2016-01-12 00:00:00+00:00,2016-01-17 23:00:00+00:00,-1,2.3805,3.5397,95,-0.02579723145422591,-1.159183,STOP_LOSS
2016-01-18 00:00:00+00:00,2016-01-19 21:00:00+00:00,-1,3.5048,3.5021,45,6.0498112603390997e-05,0.002718,STOP_LOSS
2016-01-19 22:00:00+00:00,2016-01-20 13:00:00+00:00,-1,3.4775,3.7231,15,-0.005464815663707434,-0.245558,STOP_LOSS
2016-01-20 14:00:00+00:00,2016-01-31 23:00:00+00:00,-1,3.7165,1.1348,177,0.057453155156285796,2.581623,END_OF_WINDOW
2016-03-16 18:00:00+00:00,2016-03-29 23:00:00+00:00,1,-2.0346,-2.4682,220,-0.010854442383971818,-0.433625,END_OF_WINDOW
2016-04-20 15:00:00+00:00,2016-05-08 23:00:00+00:00,1,-2.0514,-1.3327,297,0.015327875047179695,0.718704,END_OF_WINDOW
2016-09-13 11:00:00+00:00,2016-09-21 23:00:00+00:00,-1,2.1106,1.5377,156,0.0035247467110542385,0.572915,END_OF_WINDOW
2016-09-23 15:00:00+00:00,2016-10-11 21:00:00+00:00,-1,2.2611,1.4434,296,0.005865217601042527,0.817746,END_OF_WINDOW
2016-10-31 21:00:00+00:00,2016-11-03 02:00:00+00:00,-1,2.0097,3.5018,53,-0.01209340963400346,-1.492048,STOP_LOSS
2016-11-03 03:00:00+00:00,2016-11-09 03:00:00+00:00,-1,3.3806,5.4396,96,-0.0166886073432414,-2.05899,STOP_LOSS
2016-11-09 04:00:00+00:00,2016-11-11 11:00:00+00:00,-1,5.9809,3.5146,55,0.01999032175486032,2.466346,STOP_LOSS
2016-11-11 12:00:00+00:00,2016-11-18 20:00:00+00:00,-1,3.0927,1.0647,128,0.01643727439596465,2.027981,END_OF_WINDOW
