entry_time,exit_time,direction,entry_z,exit_z,bars_held,pnl_raw,pnl_norm,exit_reason,spread_std
2015-06-28 21:00:00+00:00,2015-08-21 15:00:00+00:00,1,-2.3758,0.513,955,0.03313985823631477,2.888827,MEAN_CROSS,0.011471734163559816
2015-08-25 19:00:00+00:00,2015-09-03 12:00:00+00:00,-1,2.1878,0.4314,161,0.024098527426479208,1.756403,MEAN_CROSS,0.013720387788530412
2015-09-18 08:00:00+00:00,2015-09-22 20:00:00+00:00,-1,2.0034,0.29,60,0.02350830243406575,1.713385,MEAN_CROSS,0.013720387788530412
2015-10-09 16:00:00+00:00,2015-10-22 13:00:00+00:00,-1,2.0332,0.4924,213,0.021139354233193727,1.540726,MEAN_CROSS,0.013720387788530412
2015-10-28 18:00:00+00:00,2015-11-06 13:00:00+00:00,1,-2.0544,-3.5259,162,-0.020552030205393507,-1.471571,STOP_LOSS,0.013966049040753561
2015-11-06 14:00:00+00:00,2015-11-10 12:00:00+00:00,1,-3.483,-3.616,46,-0.0018573388754775655,-0.13299,STOP_LOSS,0.013966049040753561
2015-11-10 13:00:00+00:00,2015-11-16 18:00:00+00:00,1,-3.6606,-3.5531,101,0.0015014844978490371,0.10751,STOP_LOSS,0.013966049040753561
2015-11-16 19:00:00+00:00,2015-11-18 17:00:00+00:00,1,-3.6341,-3.8594,46,-0.0031464854662839603,-0.225295,STOP_LOSS,0.013966049040753561
2015-11-18 18:00:00+00:00,2015-11-20 16:00:00+00:00,1,-3.856,-3.7546,46,0.0014160229882521636,0.10139,STOP_LOSS,0.013966049040753561
2015-11-20 17:00:00+00:00,2015-11-24 15:00:00+00:00,1,-3.8221,-4.1128,46,-0.0040599311366752155,-0.2907,STOP_LOSS,0.013966049040753561
2015-11-24 16:00:00+00:00,2015-11-26 14:00:00+00:00,1,-4.0624,-4.1547,46,-0.0012898984928008395,-0.09236,STOP_LOSS,0.013966049040753561
2015-11-26 15:00:00+00:00,2015-11-30 13:00:00+00:00,1,-4.1593,-4.6507,46,-0.006863375411497535,-0.491433,STOP_LOSS,0.013966049040753561
2015-11-30 14:00:00+00:00,2015-12-02 12:00:00+00:00,1,-4.5667,-4.4769,46,0.0012544786978346822,0.089823,STOP_LOSS,0.013966049040753561
2015-12-02 13:00:00+00:00,2015-12-21 16:00:00+00:00,1,-4.6541,-2.5607,315,0.02923711829568454,2.093442,END_OF_WINDOW,0.013966049040753561
2016-03-17 10:00:00+00:00,2016-04-19 07:00:00+00:00,-1,2.1859,2.1691,547,0.00024966709514301355,0.016783,END_OF_WINDOW,0.014876011444680683
2016-08-16 06:00:00+00:00,2016-09-01 09:00:00+00:00,-1,2.2591,0.4469,292,0.01397387355323803,1.812156,MEAN_CROSS,0.007711188912408409
2016-09-08 12:00:00+00:00,2016-10-12 05:00:00+00:00,-1,2.1848,1.1717,570,0.00781161942020317,1.013024,END_OF_WINDOW,0.007711188912408409
2016-10-21 00:00:00+00:00,2016-11-09 03:00:00+00:00,1,-2.0424,1.3339,315,0.026289059080156774,3.376242,MEAN_CROSS,0.007786486475211753
