entry_time,exit_time,direction,entry_z,exit_z,bars_held,pnl_raw,pnl_norm,exit_reason
2015-05-05 10:00:00+00:00,2015-05-11 12:00:00+00:00,1,-2.0213,-3.6177,99,-0.017082917618047783,-1.596379,STOP_LOSS
2015-05-11 13:00:00+00:00,2015-05-13 00:00:00+00:00,1,-3.8861,-3.8802,35,6.25524536937705e-05,0.005845,STOP_LOSS
2015-05-13 01:00:00+00:00,2015-05-19 19:00:00+00:00,1,-4.2223,-3.3298,115,0.00955055075533498,0.892488,END_OF_WINDOW
2015-05-20 10:00:00+00:00,2015-05-29 03:00:00+00:00,1,-2.0479,-3.5759,161,-0.020412781472189834,-1.528004,STOP_LOSS
2015-05-29 04:00:00+00:00,2015-06-02 11:00:00+00:00,1,-3.527,-3.5812,55,-0.0007245110508181662,-0.054233,STOP_LOSS
2015-06-02 12:00:00+00:00,2015-06-04 19:00:00+00:00,1,-3.5945,-3.5959,55,-1.9246267261574523e-05,-0.001441,STOP_LOSS
2015-06-08 19:00:00+00:00,2015-06-12 08:00:00+00:00,1,-2.1345,-3.5453,85,-0.028192357042926774,-1.410864,STOP_LOSS
2015-06-12 09:00:00+00:00,2015-06-17 03:00:00+00:00,1,-3.4018,-3.504,66,-0.0020415054304737668,-0.102165,STOP_LOSS
2015-06-17 04:00:00+00:00,2015-06-19 16:00:00+00:00,1,-3.5339,-4.08,60,-0.010912749269150035,-0.54612,STOP_LOSS
2015-06-19 17:00:00+00:00,2015-06-24 05:00:00+00:00,1,-4.0656,-4.292,60,-0.004525175040364426,-0.226459,STOP_LOSS
2015-06-24 06:00:00+00:00,2015-06-26 18:00:00+00:00,1,-4.2358,-4.3957,60,-0.0031954253132663313,-0.159912,STOP_LOSS
2015-06-26 19:00:00+00:00,2015-07-16 04:00:00+00:00,1,-2.2654,-3.5605,321,-0.04232632170679812,-1.295131,STOP_LOSS
2015-10-13 09:00:00+00:00,2015-10-22 13:00:00+00:00,-1,2.1522,3.5966,172,-0.01852681528537209,-1.444344,STOP_LOSS
2015-10-22 15:00:00+00:00,2015-10-27 14:00:00+00:00,-1,2.6397,3.5174,71,-0.013171379261984917,-0.877713,STOP_LOSS
2015-10-27 15:00:00+00:00,2015-11-11 15:00:00+00:00,-1,3.6131,1.3492,263,0.033973263376879725,2.263907,END_OF_WINDOW
2015-12-01 16:00:00+00:00,2015-12-09 20:00:00+00:00,-1,2.3785,3.968,148,-0.02930167368156756,-1.589466,STOP_LOSS
2015-12-09 21:00:00+00:00,2015-12-14 09:00:00+00:00,-1,4.0165,4.9307,60,-0.016854752192771827,-0.914284,STOP_LOSS
2015-12-14 10:00:00+00:00,2015-12-16 22:00:00+00:00,-1,5.0404,5.5646,60,-0.009662497648579127,-0.524141,STOP_LOSS
2015-12-16 23:00:00+00:00,2015-12-21 11:00:00+00:00,-1,5.6865,6.4888,60,-0.01479026915480891,-0.802297,STOP_LOSS
2016-01-15 08:00:00+00:00,2016-02-01 05:00:00+00:00,1,-2.1299,-1.3018,261,0.019550056217348066,0.828169,END_OF_WINDOW
