timestamp,open,high,low,close,volume,spread_close
2015-01-01 22:00:00+00:00,1.16132,1.162185,1.159865,1.1609,5434.41,0.00039999999999995595
2015-01-01 23:00:00+00:00,1.160895,1.162555,1.160895,1.161685,5916.54,0.00021000000000004349
2015-01-02 00:00:00+00:00,1.161715,1.162935,1.1616900000000001,1.16282,4427.209999999999,0.000140000000000029
2015-01-02 01:00:00+00:00,1.162805,1.1638600000000001,1.16275,1.163435,5191.73,0.00018999999999991246
2015-01-02 02:00:00+00:00,1.163435,1.1639499999999998,1.1632799999999999,1.1637149999999998,3441.69,0.00017000000000000348
2015-01-02 03:00:00+00:00,1.16372,1.1638350000000002,1.163525,1.163615,3226.79,0.00012999999999996348
2015-01-02 04:00:00+00:00,1.16363,1.165465,1.1636199999999999,1.16516,6802.360000000001,0.00016000000000016001
2015-01-02 05:00:00+00:00,1.16514,1.165465,1.164565,1.1649500000000002,4578.04,0.00024000000000001798
2015-01-02 06:00:00+00:00,1.1649500000000002,1.1657250000000001,1.1647349999999999,1.164945,5615.88,0.00014999999999987246
2015-01-02 07:00:00+00:00,1.164945,1.165945,1.1648450000000001,1.16498,5925.87,0.00015999999999993797
2015-01-02 08:00:00+00:00,1.1649949999999998,1.165465,1.1644299999999999,1.164885,6654.41,8.999999999992347e-05
2015-01-02 09:00:00+00:00,1.1648800000000001,1.166125,1.164375,1.166115,5487.21,0.00012999999999996348
2015-01-02 10:00:00+00:00,1.166125,1.166725,1.165695,1.165735,4810.07,9.000000000014552e-05
2015-01-02 11:00:00+00:00,1.16574,1.16675,1.1653799999999999,1.16642,4620.91,0.000140000000000029
2015-01-02 12:00:00+00:00,1.16643,1.168475,1.1664050000000001,1.167975,6664.11,0.00010999999999983245
2015-01-02 13:00:00+00:00,1.1679849999999998,1.16963,1.1678600000000001,1.16962,8344.71,9.999999999998899e-05
2015-01-02 14:00:00+00:00,1.169635,1.1709049999999999,1.1693099999999998,1.17077,7907.62,0.00015999999999993797
2015-01-02 15:00:00+00:00,1.170715,1.17294,1.1694399999999998,1.1713149999999999,16667.91,6.999999999979245e-05
2015-01-02 16:00:00+00:00,1.17133,1.174215,1.170965,1.1725400000000001,13271.76,9.999999999998899e-05
2015-01-02 17:00:00+00:00,1.172565,1.17486,1.172475,1.174185,10052.939999999999,0.0001100000000000545
2015-01-02 18:00:00+00:00,1.1741899999999998,1.174785,1.174055,1.174465,4892.799999999999,0.00012999999999996348
2015-01-02 19:00:00+00:00,1.174465,1.1757300000000002,1.173825,1.17504,6802.87,0.00012000000000012001
2015-01-02 20:00:00+00:00,1.1750349999999998,1.1762899999999998,1.1748349999999999,1.17626,6591.24,0.000140000000000029
2015-01-02 21:00:00+00:00,1.1763,1.178715,1.175985,1.178535,5441.79,0.0005499999999998284
2015-01-02 22:00:00+00:00,1.17845,1.17845,1.17845,1.17845,1.5,0.0009199999999998099
2015-01-04 22:00:00+00:00,1.178435,1.18438,1.178285,1.18138,6008.68,0.00034000000000000696
